window_start,window_end,minFDR_PG10,minFDR_BSU168,significant
BSU07490,BSU07590,9.55022319290374e-06,6.05386485640005e-06,Both
BSU30930,BSU31020,7.64127911167375e-12,8.26438674303105e-13,Both
BSU00610,BSU00700,0.099142750652256,0.0632874139295385,Neither
BSU10100,BSU10200,0.000381475701189077,0.000195232368178103,Both
BSU06160,BSU06420,0.0599355569641339,0.0250037480354924,BSU168_only
BSU40140,BSU40350,1.27850065058173e-05,1.15536850829441e-05,Both
BSU27350,BSU27440,0.00560668814046463,0.00109951637456854,Both
BSU04450,BSU04536,0.0394015228156119,0.0504662304760983,PG10_only
BSU07560,BSU07650,0.0762788074053105,0.102880255832341,Neither
BSU28500,BSU28590,0.00180486435629813,0.000997944618183362,Both
BSU24500,BSU24590,7.74761396661384e-06,2.04209189405246e-06,Both
BSU11560,BSU11650,0.210536031620654,0.124284224403627,Neither
BSU13120,BSU13200,0.00123504242782813,0.000775006633825062,Both
BSU31350,BSU31440,0.000315808958718453,0.000129782684676905,Both
BSU06400,BSU06490,1.57259361749581e-16,4.47726648699519e-18,Both
BSU35250,BSU35440,8.22982798095057e-05,0.000325968036829993,Both
BSU01260,BSU01350,2.323046461764e-13,4.08045420336925e-15,Both
BSU09250,BSU09340,3.19259486742799e-06,6.89751180386119e-07,Both
BSU31380,BSU31470,0.446006095176313,0.357304398370797,Neither
BSU39280,BSU39360,0.000837148876116796,0.000303275175420193,Both
BSU28220,BSU28310,4.14386346510773e-13,3.13485993709868e-14,Both
BSU04620,BSU04710,0.0926846706388252,0.0979967697455935,Neither
BSU23820,BSU23910,0.00426898239279957,0.00175560737946232,Both
BSU29040,BSU29140,0.00112275620578809,0.00106265443739385,Both
BSU25180,BSU25280,0.00167597625616922,0.000688747712740805,Both
BSU19330,BSU19420,0.00129202823992516,0.000531723410631561,Both
BSU00840,BSU00930,0.00772832572472461,0.0040957424179527,Both
BSU17860,BSU17950,0.13493813467328,0.103597584360664,Neither
BSU14730,BSU14820,0.517850873214747,0.476622160130747,Neither
BSU07980,BSU08060,0.161588416095343,0.129649011068532,Neither
BSU32080,BSU32170,0.339172568020876,0.217443249701323,Neither
BSU38760,BSU39300,0.113678717853151,0.145288959662441,Neither
BSU22800,BSU22870,0.0441546406987842,0.0252602833248005,Both
BSU23020,BSU23120,0.0605956560357536,0.0460478669968393,BSU168_only
BSU18240,BSU18380,0.112194196130744,0.0556755967730154,Neither
BSU16730,BSU16810,0.000192896052737741,7.0029244874784e-05,Both
BSU38540,BSU39250,0.0224234667671339,0.0108324210710698,Both
BSU14970,BSU15060,0.384139108960231,0.255675029868589,Neither
BSU36440,BSU36530,0.327991054789418,0.210274790919961,Neither
BSU28860,BSU28960,0.0023778980872173,0.000977904110489979,Both
BSU25670,BSU26840,0.0511088212620228,0.0339769822110634,BSU168_only
BSU31650,BSU31960,0.0166510891835153,0.0244556557026791,Both
BSU34800,BSU34890,2.09662946517659e-06,3.55496757187112e-07,Both
BSU29300,BSU29390,5.90836626232811e-05,2.38521099219332e-05,Both
BSU22869,BSU22950,0.0513517401659279,0.0908004778972558,Neither
BSU13130,BSU13210,0.00120364304406979,0.000755303075337985,Both
BSU34380,BSU34800,0.158397206936882,0.102306721765795,Neither
BSU16680,BSU16770,0.00017228120740699,6.25452034377842e-05,Both
BSU38140,BSU38229,8.88756385138124e-08,3.50084209386095e-08,Both
BSU38740,BSU39280,0.0189837029035937,0.00782937364542668,Both
BSU04650,BSU04740,0.0208033319794353,0.0133756464094921,Both
BSU29460,BSU29550,0.134178158777489,0.106491343015176,Neither
BSU24690,BSU24780,2.51223124408249e-06,8.39169035010067e-07,Both
BSU05470,BSU05550,0.00524314376977062,0.00516573446345136,Both
BSU29900,BSU29990,0.108963836140921,0.104911383669248,Neither
BSU14150,BSU14240,0.00849663737855485,0.00422015665663465,Both
BSU22480,BSU22570,0.104185688163351,0.065113458520778,Neither
BSU14750,BSU14840,0.366470899381293,0.280367617916846,Neither
BSU15340,BSU15430,0.0613011772493926,0.025573453686934,BSU168_only
BSU25480,BSU25569,0.273021527360655,0.214164788393381,Neither
BSU02550,BSU02630,0.0571737124415306,0.0449681239086376,BSU168_only
BSU15180,BSU15270,3.04167690245073e-11,1.03220526045812e-12,Both
BSU35280,BSU35470,8.55383695657855e-05,0.00187690555421515,Both
BSU33540,BSU33630,0.177040626164743,0.11350059737157,Neither
BSU14420,BSU14510,0.672676918389189,0.432553797229942,Neither
BSU37630,BSU37790,0.00295190763733896,0.00101671136398873,Both
BSU22020,BSU22310,0.0544166977264262,0.0380856078143055,BSU168_only
BSU01700,BSU02130,0.000312508470634879,0.000532882651222868,Both
BSU02180,BSU02290,0.0920271189963193,0.0502995419175875,Neither
BSU25520,BSU25600,0.165309432891431,0.125325327117967,Neither
BSU07710,BSU07820,0.000636520947341447,0.00178255640510442,Both
BSU13880,BSU14180,0.000556871464149028,0.00141166803207854,Both
BSU12860,BSU12950,0.00129669866374817,0.000546895720375207,Both
BSU16170,BSU16530,1.05877841935071e-07,2.0317184478759e-05,Both
BSU39830,BSU39920,0.0868214068027924,0.0833625178391056,Neither
BSU27260,BSU27350,0.0547423672180299,0.0210443187244957,BSU168_only
BSU24820,BSU24910,0.295563615070827,0.200690695035293,Neither
BSU15720,BSU15810,0.000188039687940634,6.79070711101948e-05,Both
BSU28950,BSU29040,0.0195426854300826,0.00805414688655778,Both
BSU02910,BSU03000,0.00527031017492418,0.00217984472873416,Both
BSU23070,BSU23160,6.3197779474366e-05,1.66692193682763e-05,Both
BSU14360,BSU14450,0.259156173586597,0.199640214106127,Neither
BSU37340,BSU37520,0.00245547585087032,0.00134833850284385,Both
BSU25260,BSU25340,0.00185107825308242,0.000760706428997307,Both
BSU09900,BSU09990,0.21705999585259,0.195098444046209,Neither
BSU35290,BSU35480,8.55383695657855e-05,0.00187690555421515,Both
BSU32100,BSU32190,0.187906330437472,0.180614484385127,Neither
BSU13169,BSU13250,0.202110385795892,0.17307646560881,Neither
BSU39430,BSU39890,0.234740240724868,0.169292097800134,Neither
BSU09770,BSU09870,0.0254808692125393,0.021188730351173,Both
BSU02150,BSU02260,0.500374095503773,0.400257659140807,Neither
BSU31740,BSU32010,4.99088883146095e-07,4.03033689630353e-07,Both
BSU00730,BSU00820,4.18905676752741e-13,2.90399076858041e-14,Both
BSU10370,BSU10460,0.0539419710508729,0.0684249341139891,Neither
BSU01090,BSU01180,1.21852152824029e-10,3.48964239243491e-12,Both
BSU04500,BSU04580,0.116454961810851,0.0664142219348019,Neither
BSU27370,BSU27460,0.00271922200088338,0.00139557552388447,Both
BSU25570,BSU25660,0.131272103846211,0.0878136200716881,Neither
BSU08790,BSU08880,0.0678345136041751,0.0724810832337743,Neither
