IDbsub	BiolProc	MolFun	CellComp
BSU00390	GO:0006139 GO:0006259 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0090304 GO:0090305 GO:1901360	GO:0003824 GO:0004518 GO:0004536 GO:0005488 GO:0016787 GO:0016788 GO:0043167 GO:0043169 GO:0046872 GO:0140097 GO:0140640	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU00400	GO:0000270 GO:0006022 GO:0006807 GO:0008152 GO:0009254 GO:0030203 GO:0043170 GO:0071704 GO:1901135 GO:1901564	GO:0003824 GO:0004553 GO:0016787 GO:0016798	GO:0016020 GO:0019867 GO:0110165
BSU00410	GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0044085 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0071840 GO:0090304 GO:0090305 GO:0090501 GO:0090502 GO:1901360	GO:0003676 GO:0003723 GO:0003824 GO:0004518 GO:0004519 GO:0004521 GO:0004540 GO:0005488 GO:0016787 GO:0016788 GO:0016891 GO:0016893 GO:0019843 GO:0043167 GO:0043169 GO:0043822 GO:0046872 GO:0097159 GO:0140098 GO:0140640 GO:1901363	GO:0005622 GO:0005737 GO:0110165
BSU00420	GO:0000154 GO:0001510 GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0031167 GO:0032259 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0043412 GO:0043414 GO:0044085 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0000179 GO:0003676 GO:0003723 GO:0003824 GO:0005488 GO:0008168 GO:0008170 GO:0008173 GO:0008649 GO:0008757 GO:0016433 GO:0016740 GO:0016741 GO:0052908 GO:0097159 GO:0140098 GO:0140102 GO:0140640 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU00430	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869	GO:0003824 GO:0016787	GO:0005618 GO:0016020 GO:0030312 GO:0031160 GO:0043591 GO:0043593 GO:0071944 GO:0110165
BSU00440	GO:0006355 GO:0009653 GO:0009889 GO:0009987 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0030154 GO:0030435 GO:0031323 GO:0031326 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141		GO:0005622 GO:0005737 GO:0110165
BSU00450	GO:0006139 GO:0006259 GO:0006265 GO:0006725 GO:0006807 GO:0006996 GO:0008152 GO:0009653 GO:0009987 GO:0016043 GO:0030154 GO:0030435 GO:0032502 GO:0034641 GO:0043170 GO:0043934 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0048646 GO:0048856 GO:0048869 GO:0051276 GO:0071103 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0003676 GO:0003677 GO:0003690 GO:0005488 GO:0097159 GO:1901363	
BSU00460	GO:0006081 GO:0006082 GO:0006090 GO:0006629 GO:0006644 GO:0006720 GO:0006721 GO:0006793 GO:0006796 GO:0008152 GO:0008299 GO:0008610 GO:0008654 GO:0009058 GO:0009240 GO:0009987 GO:0016114 GO:0016310 GO:0019288 GO:0019637 GO:0019682 GO:0019752 GO:0032787 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044281 GO:0046490 GO:0071704 GO:0090407 GO:1901135 GO:1901576	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0050515 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
BSU00470	GO:0006141 GO:0006355 GO:0009889 GO:0009890 GO:0009892 GO:0010468 GO:0010556 GO:0010558 GO:0010605 GO:0019219 GO:0019222 GO:0031323 GO:0031324 GO:0031326 GO:0031327 GO:0045892 GO:0045934 GO:0045982 GO:0048519 GO:0048523 GO:0050789 GO:0050794 GO:0051171 GO:0051172 GO:0051252 GO:0051253 GO:0060255 GO:0062012 GO:0062014 GO:0065007 GO:0080090 GO:1902679 GO:1903506 GO:1903507 GO:2001141	GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	
BSU00480	GO:0006082 GO:0006520 GO:0006549 GO:0006629 GO:0006631 GO:0006633 GO:0006807 GO:0008152 GO:0008610 GO:0008652 GO:0009056 GO:0009058 GO:0009081 GO:0009082 GO:0009097 GO:0009636 GO:0009987 GO:0016053 GO:0019752 GO:0032787 GO:0042221 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0044281 GO:0044283 GO:0046360 GO:0046361 GO:0046394 GO:0046459 GO:0050896 GO:0051790 GO:0071704 GO:0072330 GO:1901564 GO:1901565 GO:1901566 GO:1901575 GO:1901576 GO:1901605 GO:1901607	GO:0003824 GO:0016787 GO:0016810 GO:0019239 GO:0120241 GO:0120242 GO:0120243	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU00490	GO:0000003 GO:0000910 GO:0000917 GO:0007049 GO:0009653 GO:0009987 GO:0016043 GO:0019954 GO:0022402 GO:0022607 GO:0030154 GO:0030435 GO:0030436 GO:0032502 GO:0032506 GO:0043934 GO:0044085 GO:0048646 GO:0048856 GO:0048869 GO:0051301 GO:0071840 GO:0090529		
